innings,player_dismissed,date,season,batting_team,striker,wicket_type,bowling_team,runs_of_bat,over,match_no,match_id,noballs,extras,legbyes,bowler,byes,fielder,venue,wide
1,,"Mar 26, 2022",2022,CSK,Ruturaj Gaikwad,,KKR,0,0.1,1,202201,1,1,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Ruturaj Gaikwad,,KKR,0,0.1,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Ruturaj Gaikwad,,KKR,0,0.2,1,202201,0,1,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",1
1,,"Mar 26, 2022",2022,CSK,Ruturaj Gaikwad,,KKR,0,0.2,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,Ruturaj Gaikwad,"Mar 26, 2022",2022,CSK,Ruturaj Gaikwad,caught,KKR,0,0.3,1,202201,0,0,0,Umesh Yadav,0,Nitish Rana,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,0,0.4,1,202201,0,1,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",1
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,0,0.4,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,0,0.5,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,0,0.6,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Devon Conway,,KKR,0,1.1,1,202201,0,0,0,Shivam Mavi,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Devon Conway,,KKR,0,1.2,1,202201,0,0,0,Shivam Mavi,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Devon Conway,,KKR,1,1.3,1,202201,0,0,0,Shivam Mavi,0,,"Wankhede Stadium, Mumbai",0
